Model,MAE,MSE,R2
LinearRegression,81832.7174862282,10401275405.859007,0.9185087466778045
RobustRegression,201763.11087326263,63496266022.50233,0.5025234793284548
RidgeRegression,81833.69755716286,10401236842.757254,0.91850904880955
LassoRegression,81832.71975960431,10401276439.14879,0.9185087385822511
ElasticNet,99005.72138182775,15032474285.442106,0.8822245232191135
PolynomialRegression,82940.14972391675,10599833408.814262,0.9169530970207574
SGDRegressor,1.1872397004985513e+18,1.4423162046009097e+36,-1.1300167586528145e+25
ANN,201656.5593643127,63281684318.69996,0.5042046704613246
RandomForest,98270.52632126462,14906707287.27985,0.8832098745252658
SVM,287413.1348251524,127623566984.63016,0.00010296610661020278
LGBM,92877.61627229335,13166042155.169907,0.8968475273798361
XGBoost,100460.61098591144,16064162250.19291,0.8741415197407507
KNN,198911.25197310967,61230109913.94778,0.5202782155799182
